"ffuenf Extensions","ffuenf Extensions"
"Extensions Installed","Installierte Extensions"
"Installed Magento Patches", "Installierte Magento-Patches"
"Here you can find a list of all ffuenf extensions currently installed on your system.","Liste aller Extensions von ffuenf die in diesem System installiert sind."
"Logging Configuration", "Log Konfiguration"
"Enable the logging functions for debugging purposes only", "Aktivieren Sie die Log-Funktion nur zur Fehlersuche."
"Name of logfile", "Name der Logdatei"
"Force logging", "Log-Funktion erzwingen"
"Force logging even if the Magento setting is off", "Log-Funktion erzwingen auch wenn die globale Einstellung deaktiviert ist"
"Enable", "Aktiviert"
"Common", "Allgemein"